graph,frequency
ask_availability#size&handoff&shop_turn!!!ask_availability#size->handoff&handoff->handoff&shop_turn->ask_availability#size,15
ask_availability#size&handoff&shop_turn!!!ask_availability#size->handoff&handoff->handoff&handoff->shop_turn,21
ask_availability#size&shop_turn&thank!!!ask_availability#size->shop_turn&shop_turn->ask_availability#size&shop_turn->thank,26
ask_availability#size&shop_turn&thank!!!ask_availability#size->shop_turn&shop_turn->thank&thank->ask_availability#size,11
agree&ask_availability#size&shop_turn&thank!!!ask_availability#size->shop_turn&shop_turn->agree&thank->ask_availability#size,1
handoff&inform&shop_turn!!!handoff->inform&inform->handoff&shop_turn->handoff,94
handoff&inform&shop_turn!!!handoff->inform&handoff->shop_turn&inform->handoff,123
greet&handoff&inform&shop_turn!!!handoff->shop_turn&inform->handoff&shop_turn->greet,23
handoff&inform&request#price&send_image!!!inform->send_image&request#price->handoff&send_image->request#price,4
handoff&request#price&send_image&shop_turn!!!handoff->shop_turn&request#price->handoff&send_image->request#price,94
handoff&request#price&shop_turn!!!handoff->shop_turn&request#price->handoff&shop_turn->handoff,129
handoff&request#price&send_image!!!handoff->request#price&request#price->send_image&send_image->send_image,31
request#price&send_image!!!request#price->send_image&send_image->send_image,26
send_image!!!send_image->send_image,145
send_image&shop_turn!!!send_image->send_image&send_image->shop_turn,71
send_image&shop_turn!!!send_image->send_image&send_image->shop_turn&shop_turn->send_image,81
inform&send_image&shop_turn!!!send_image->inform&send_image->shop_turn&shop_turn->send_image,8
inform&send_image&shop_turn!!!inform->shop_turn&send_image->inform&shop_turn->send_image,289
greet&inform&request#price&shop_turn!!!inform->request#price&request#price->shop_turn&shop_turn->greet,3
greet&handoff&inform&shop_turn!!!greet->handoff&handoff->shop_turn&shop_turn->inform,46
handoff&inform&shop_turn&thank!!!handoff->shop_turn&inform->handoff&shop_turn->thank,32
greet&shop_turn&thank!!!shop_turn->greet&shop_turn->thank&thank->shop_turn,22
greet&shop_turn&thank!!!greet->greet&shop_turn->greet&thank->shop_turn,1
greet&shop_turn!!!greet->greet&greet->shop_turn&shop_turn->greet,7
handoff&request#price&shop_turn!!!handoff->request#price&handoff->shop_turn&shop_turn->handoff,95
handoff&request#price&shop_turn!!!handoff->request#price&request#price->handoff&shop_turn->handoff,14
handoff&request#price&shop_turn!!!handoff->request#price&handoff->shop_turn&request#price->handoff,36
ask_availability#size&send_image&shop_turn!!!send_image->shop_turn&shop_turn->ask_availability#size&shop_turn->send_image,41
ask_availability#size&send_image&shop_turn!!!ask_availability#size->shop_turn&send_image->shop_turn&shop_turn->ask_availability#size,57
ask_availability#size&handoff&shop_turn!!!ask_availability#size->shop_turn&shop_turn->ask_availability#size&shop_turn->handoff,139
greet&inform&request#price&send_image!!!greet->send_image&request#price->inform&send_image->request#price,5
inform&request#price&send_image&shop_turn!!!inform->shop_turn&request#price->inform&send_image->request#price,103
handoff&inform&request#price&shop_turn!!!inform->shop_turn&request#price->inform&shop_turn->handoff,51
ask_if_sells#size&request#price&send_image&shop_turn!!!ask_if_sells#size->request#price&send_image->ask_if_sells#size&shop_turn->send_image,20
ask_if_sells#size&request#price&send_image&shop_turn!!!ask_if_sells#size->request#price&request#price->shop_turn&shop_turn->send_image,6
greet&request#price&send_image&shop_turn!!!request#price->shop_turn&send_image->greet&shop_turn->send_image,18
greet&request#price&send_image&shop_turn!!!greet->request#price&send_image->greet&shop_turn->send_image,9
greet&request#price&send_image&shop_turn!!!greet->request#price&request#price->shop_turn&send_image->greet,12
ask_if_sells#size&request#price&send_image&shop_turn!!!request#price->shop_turn&send_image->ask_if_sells#size&shop_turn->send_image,34
handoff&inform&shop_turn!!!handoff->handoff&handoff->shop_turn&shop_turn->inform,267
ask_availability#size&handoff&shop_turn!!!ask_availability#size->shop_turn&handoff->handoff&shop_turn->handoff,93
ask_availability#size&handoff&shop_turn!!!handoff->shop_turn&shop_turn->ask_availability#size&shop_turn->handoff,87
ask_availability#size&handoff&send_image&shop_turn!!!ask_availability#size->send_image&handoff->shop_turn&shop_turn->ask_availability#size,24
agree&inform&request#price&shop_turn!!!agree->request#price&inform->shop_turn&shop_turn->agree,2
agree&request#price&shop_turn&thank!!!agree->request#price&request#price->shop_turn&shop_turn->thank,3
agree&handoff&shop_turn&thank!!!agree->thank&handoff->shop_turn&shop_turn->agree,68
agree&shop_turn&thank!!!agree->thank&shop_turn->agree&thank->shop_turn,49
agree&shop_turn&thank!!!agree->thank&shop_turn->thank&thank->shop_turn,3
ask_availability#size&inform&shop_turn!!!ask_availability#size->shop_turn&inform->shop_turn&shop_turn->ask_availability#size,44
greet&send_image&shop_turn!!!greet->shop_turn&send_image->greet&shop_turn->send_image,38
greet&send_image&shop_turn&thank!!!greet->shop_turn&send_image->greet&shop_turn->thank,5
